split,query,samples,iou,dice,leakage
test_seen,back,5,0.7245958089828491,0.8359255433082581,0.07120092548429961
test_seen,body,110,0.5297740933062001,0.6431806100024419,0.21757561049678106
test_seen,cap,53,0.1966033362133323,0.2704965521774764,0.2751781149890344
test_seen,chainwheel,32,0.12841777841094879,0.19460524246096608,0.44782688561826944
test_seen,coach,36,0.18937172913582695,0.22112706630772055,0.13299159084757164
test_seen,door,18,0.35197894813285935,0.48088668204016155,0.07452157886129698
test_seen,ear,237,0.2580753138155248,0.35945018380880356,0.24307618594437613
test_seen,engine,33,0.3596742380353989,0.4934050299678788,0.1764594482003965
test_seen,eye,217,0.11269518064360738,0.17038504957878095,0.012599920547108082
test_seen,eyebrow,65,0.026285396516323084,0.04610694626776071,0.00012301201215730002
test_seen,foot,55,0.14333831336010586,0.21903028759089382,0.44819913005287
test_seen,front,60,0.57483282883962,0.7024983381231625,0.1232375339294473
test_seen,hair,85,0.3349298091714873,0.43178465508801095,0.21175987788421266
test_seen,hand,90,0.18685553592836687,0.26913551531939045,0.3208392685693171
test_seen,handlebar,34,0.09097421454156145,0.15063438082442562,0.6164985702318304
test_seen,head,331,0.39417404907486847,0.5022515373366386,0.14978012199013482
test_seen,headlight,33,0.09780294256228386,0.16198473423719403,0.045238981616090634
test_seen,hoof,20,0.08477621590718624,0.1370662761852145,0.6314287833869457
test_seen,horn,16,0.16270717442966995,0.25143305538222194,0.27629120647907257
test_seen,leg,222,0.31261746381799616,0.4353595283595627,0.2794585352058749
test_seen,license plate,3,0.0,0.0,0.0
test_seen,lower arm,103,0.23423342461453625,0.32456893019956873,0.20568411455498734
test_seen,mirror,25,0.11272222995758055,0.1743882292509079,0.10949318766593931
test_seen,mouth,76,0.1270088188987421,0.1886368429190234,0.08258031603365548
test_seen,muzzle,82,0.45753560667266935,0.5747524202324268,0.2296582667040638
test_seen,neck,176,0.3144823519522271,0.43037491135129874,0.07541903104125096
test_seen,nose,157,0.1584822344148804,0.23105553822342756,0.055439728982509325
test_seen,paw,63,0.265323930198238,0.3876213745938407,0.35397848078892347
test_seen,plant,35,0.2550576690318329,0.35464006353701866,0.38193334298474446
test_seen,pot,33,0.28907807318098616,0.3750324865633791,0.29790040963526926
test_seen,roof,7,0.2927969593022551,0.4189541020563671,0.28338707451309475
test_seen,saddle,28,0.21754788876777248,0.321501367858478,0.4456715951008456
test_seen,screen,30,0.6598394791285197,0.7659356698393822,0.01207172934373372
test_seen,side,71,0.5408362867966504,0.6746694188512546,0.14263494572484153
test_seen,stern,50,0.47398808028548955,0.6074004605412483,0.2920295014232397
test_seen,tail,84,0.24105755188724115,0.34248079727625563,0.29565890528084265
test_seen,torso,298,0.46579219346581613,0.5815189415557722,0.12311856838993274
test_seen,upper arm,105,0.2977995022089176,0.40679563383261363,0.14336606249368436
test_seen,wheel,107,0.20304758094303377,0.3053714679728184,0.475518444484474
test_seen,window,36,0.4977865597854058,0.6204798149151934,0.06746662379656396
test_seen,wing,50,0.31195299993269143,0.45613517090678213,0.2845209942758083
test_unseen,back,21,0.2751034578042371,0.3627062209305309,0.12845982571265524
test_unseen,beak,62,0.015752996284244276,0.027130238110980674,0.09613307841843174
test_unseen,door,24,0.03360626199476729,0.05961139945429748,0.05210677906870841
test_unseen,ear,100,0.18581470798468214,0.27034537397325037,0.2305574358743615
test_unseen,eye,148,0.09959172744404624,0.1526988751028438,0.012954092656916662
test_unseen,foot,33,0.029388872455015314,0.051485687437834146,0.3771060702927185
test_unseen,front,29,0.3283560150784665,0.4203622005879879,0.15565599738780792
test_unseen,handlebar,1,0.1562302410602569,0.2702406942844391,0.4153943955898285
test_unseen,head,178,0.33372501051969033,0.45818446038207145,0.17768578501182783
test_unseen,headlight,39,0.08107908850965591,0.12114743573161271,0.0
test_unseen,horn,4,0.12642889842391014,0.20175879448652265,0.5756773129105568
test_unseen,leg,122,0.20656965932518728,0.3035371632536598,0.30316964833287247
test_unseen,license plate,3,0.0,0.0,0.326241135597229
test_unseen,mirror,31,0.03255235049272737,0.05308952939606481,0.21669207753673678
test_unseen,muzzle,100,0.30459187785163516,0.4219029929488897,0.15233136458322405
test_unseen,neck,83,0.23437382625303713,0.32767482983868523,0.09008308567095501
test_unseen,nose,69,0.22686674659126907,0.31151944091138634,0.07526368102517679
test_unseen,paw,52,0.2395036130821189,0.352652647639983,0.4104108492700526
test_unseen,roof,14,0.01566549091200742,0.029557229169378307,0.05820367584237827
test_unseen,side,42,0.32290040278097704,0.4508998510206029,0.11676953078824136
test_unseen,tail,95,0.11842857352212854,0.17331296868230167,0.2282927439499058
test_unseen,torso,181,0.48380746529501917,0.6160990639836708,0.1175394408679464
test_unseen,wheel,78,0.40797087786575925,0.5314268872428399,0.1763830361410211
test_unseen,window,43,0.15895198946981148,0.2285116002245178,0.03901694773501434
test_unseen,wing,34,0.0831036179956487,0.12931921659037468,0.1812251377302934
