split,query,samples,iou,dice,leakage
test_seen,back,5,0.7522136449813843,0.851348614692688,0.0689038753509521
test_seen,body,110,0.5626805465329777,0.6798867511478337,0.21420830489898265
test_seen,cap,53,0.2387765061531989,0.3176081912275755,0.23243612080882742
test_seen,chainwheel,32,0.17606041301041842,0.2559414869174361,0.3020965214818716
test_seen,coach,36,0.1972563203687766,0.2272030169470882,0.11631871113139719
test_seen,door,18,0.34078388578361934,0.47911205722226036,0.04051754075852738
test_seen,ear,237,0.24863865583121209,0.3490724492079347,0.2753150459312154
test_seen,engine,33,0.3447351273375027,0.47887272548607807,0.155304872148642
test_seen,eye,217,0.10932085267375415,0.16492567723831547,0.015740964802042127
test_seen,eyebrow,65,0.019613875219455124,0.034622943630585296,0.0007201309387500462
test_seen,foot,55,0.1560424167324196,0.2364013004032048,0.4129444964907386
test_seen,front,60,0.5712250468631586,0.6983954911430676,0.10880550468961393
test_seen,hair,85,0.32649843324633204,0.426271811653586,0.21359282998258572
test_seen,hand,90,0.20980668194695476,0.29824382131919264,0.34481983899087126
test_seen,handlebar,34,0.0884999913327834,0.15167443169390452,0.5638568357509726
test_seen,head,331,0.3970832227827915,0.5070854455612113,0.1270787307557866
test_seen,headlight,33,0.11390747863686443,0.1813939633694562,0.04347844822614481
test_seen,hoof,20,0.08988031679764387,0.1533319344744086,0.6527977891266346
test_seen,horn,16,0.13190147466957566,0.21526117622852323,0.3045941088348627
test_seen,leg,222,0.32001671887045885,0.4463740141080642,0.2695663273308283
test_seen,license plate,3,0.0,0.0,0.0
test_seen,lower arm,103,0.23683294990253675,0.33730496929108517,0.22915491865025558
test_seen,mirror,25,0.11717219904065132,0.1762179282307625,0.09972162790596485
test_seen,mouth,76,0.12963672979783852,0.19452042725721472,0.05293717012299519
test_seen,muzzle,82,0.4509444104354238,0.5716357864609851,0.19295383116412088
test_seen,neck,176,0.3360421431134455,0.4600030323807997,0.07734536516281049
test_seen,nose,157,0.17669821433295868,0.25633478220433564,0.06413892426403464
test_seen,paw,63,0.27861813659824075,0.4005147365941888,0.27999507174605415
test_seen,plant,35,0.25542044617634796,0.35530882870246255,0.3416999667749873
test_seen,pot,33,0.35111536520222825,0.443734620782462,0.20603867733117304
test_seen,roof,7,0.2537133998370596,0.37619468569755554,0.23780992267919435
test_seen,saddle,28,0.227963739739997,0.33097483377371517,0.37413171492516994
test_seen,screen,30,0.6796373595794042,0.7780217786629995,0.05385930774888643
test_seen,side,71,0.5442478483605107,0.6776325901885005,0.12793132783451547
test_seen,stern,50,0.508220905251801,0.6383101652562618,0.2796045757830143
test_seen,tail,84,0.26556792256278205,0.37472633256887394,0.2803688827414243
test_seen,torso,298,0.4769398355462464,0.5975610124928394,0.1260612263537993
test_seen,upper arm,105,0.319148235174916,0.4399344858325397,0.14793765450872123
test_seen,wheel,107,0.20433478659262583,0.30236262835945205,0.4035007916826093
test_seen,window,36,0.5325936995860603,0.666901608929038,0.04778491745754658
test_seen,wing,50,0.3022411664947867,0.44604524336755275,0.25436963452957567
test_unseen,back,21,0.33253198408610407,0.4459485320840031,0.09992034205545977
test_unseen,beak,62,0.08229378453125395,0.1319778791718906,0.17918422806166834
test_unseen,door,24,0.051343750305628995,0.08577642285187416,0.03356113500194623
test_unseen,ear,100,0.24735991680703592,0.34696086557698436,0.20915987007552755
test_unseen,eye,148,0.09467475821666821,0.14510716826378092,0.005728480758497841
test_unseen,foot,33,0.006092826045598039,0.010861555565938803,0.21346534337058212
test_unseen,front,29,0.40573575264164086,0.49747886062310687,0.1468656161029277
test_unseen,handlebar,1,0.1425742506980896,0.2495667189359665,0.7009345889091492
test_unseen,head,178,0.361538247623889,0.4911576077980356,0.17654385887939228
test_unseen,headlight,39,0.15558248567275512,0.22497666436128128,0.0899791915136843
test_unseen,horn,4,0.24297634512186048,0.36341338604688644,0.3988760709762573
test_unseen,leg,122,0.208816000321483,0.304003448328614,0.24553532714499388
test_unseen,license plate,3,0.0,0.0,0.0077519379556179
test_unseen,mirror,31,0.03396332768663283,0.0568690528312037,0.18447028461002535
test_unseen,muzzle,100,0.3560599113907665,0.4872264097630978,0.1089197386114392
test_unseen,neck,83,0.28930809430733145,0.40205709155963126,0.08713407698087391
test_unseen,nose,69,0.1884743468566001,0.2632234556249518,0.06702811414024969
test_unseen,paw,52,0.2671670492631025,0.3771780294796022,0.3098637139550052
test_unseen,roof,14,0.06748339290996742,0.116464761102439,0.11206085121791275
test_unseen,side,42,0.31510435958348565,0.44224475807554664,0.1162015689049093
test_unseen,tail,95,0.20488933866451445,0.292681065515468,0.2862139069328183
test_unseen,torso,181,0.5166768018228326,0.6494804630364749,0.13622202571913677
test_unseen,wheel,78,0.4339486890926193,0.5553762558847666,0.18943362769026018
test_unseen,window,43,0.4223967237874519,0.5424330082050589,0.05499818060495672
test_unseen,wing,34,0.29527936092413526,0.41454082278206067,0.20407022986396706
