experiment,split,samples,iou,dice,leakage,selected_epoch,validation_iou,validation_dice
baseline_object_mask,test_seen,3371,0.2956087412164733,0.3947899568446013,0.2074103042775507,20,0.2880425611440546,0.3821847317609715
baseline_object_mask,test_unseen,1586,0.2243190449779032,0.3085097013541464,0.1890837490598408,20,0.2880425611440546,0.3821847317609715
fixed_uvd,test_seen,3371,0.301535117667274,0.3999924175362872,0.1842315724342187,15,0.291171250597623,0.3862124774062517
fixed_uvd,test_unseen,1586,0.2493112175373989,0.338153013212333,0.1511887449695818,15,0.291171250597623,0.3862124774062517
query_gated_uvd,test_seen,3371,0.3028356954106147,0.4019789794795682,0.1942538363662798,15,0.2908936964213334,0.3862348754188003
query_gated_uvd,test_unseen,1586,0.2455546853458743,0.3338142069168054,0.1564815962492399,15,0.2908936964213334,0.3862348754188003
rotation_consistent,test_seen,3371,0.302784999955777,0.4030111427691709,0.1746730589455172,14,0.2937194884884319,0.3903263788810954
rotation_consistent,test_unseen,1586,0.2712108779311489,0.368338894543225,0.1536260917023992,14,0.2937194884884319,0.3903263788810954
geometry_dropout,test_seen,3371,0.2972487969318657,0.3985030756805136,0.2144411037247655,17,0.2877624893346007,0.3850336897045277
geometry_dropout,test_unseen,1586,0.2415191099013308,0.3325683936923871,0.174579539177973,17,0.2877624893346007,0.3850336897045277
