split,query,samples,iou,dice,leakage
test_seen,back,5,0.6973724484443664,0.8177858710289001,0.07544534057378763
test_seen,body,110,0.548155799779025,0.6663506958972324,0.22690621948038986
test_seen,cap,53,0.2410598058464392,0.33078945273498317,0.37674507391551193
test_seen,chainwheel,32,0.16492123092757535,0.25280179851688445,0.5388196993153542
test_seen,coach,36,0.19663024653305503,0.2244598448386467,0.11814638558361261
test_seen,door,18,0.3110895057519277,0.44640614837408066,0.0380897834224419
test_seen,ear,237,0.23968979724356704,0.33968809786162296,0.25190568478966624
test_seen,engine,33,0.3203878956282455,0.4548775123037172,0.20549233167460468
test_seen,eye,217,0.10559325403435163,0.16366588540615573,0.050568036883125236
test_seen,eyebrow,65,0.027250191698280652,0.047694300817182414,0.01713418546490944
test_seen,foot,55,0.14075443544848398,0.21452260518615895,0.5331288741393523
test_seen,front,60,0.5744845785200596,0.702227849761645,0.12614321910465753
test_seen,hair,85,0.3256393331048243,0.42833611607989847,0.25258586063761923
test_seen,hand,90,0.19924761092083318,0.28985714902066523,0.3719704350042674
test_seen,handlebar,34,0.10729950573980147,0.18045411823207838,0.6759236121878904
test_seen,head,331,0.3894897158661424,0.5014255247149177,0.16337612067529325
test_seen,headlight,33,0.11003842139898826,0.17591287884296794,0.050537277704499874
test_seen,hoof,20,0.09951950667891649,0.1648888208903372,0.6648521900177002
test_seen,horn,16,0.11958099983166899,0.19592575286515054,0.29483780544251204
test_seen,leg,222,0.32388702677568076,0.4520120995768413,0.29536775138485033
test_seen,license plate,3,0.0,0.0,0.0
test_seen,lower arm,103,0.23645845392845496,0.33699426364189794,0.2390094528978383
test_seen,mirror,25,0.09757095053792,0.15200761288404466,0.11389115855097769
test_seen,mouth,76,0.10664953478906106,0.16415870971487542,0.038048425297203814
test_seen,muzzle,82,0.45093570795001053,0.5630090399758845,0.19627375914942377
test_seen,neck,176,0.3124134008195886,0.4305810191118243,0.09656534575994802
test_seen,nose,157,0.1455318655575489,0.21403620325052625,0.060258206964772965
test_seen,paw,63,0.25969567834325724,0.38200351548573325,0.3762835051627859
test_seen,plant,35,0.26174994653556494,0.35886823077952223,0.38149276822805406
test_seen,pot,33,0.29500718109987,0.3821831735866991,0.26462572717079613
test_seen,roof,7,0.27548357598217466,0.3917769326695374,0.2482098266482353
test_seen,saddle,28,0.21443674420671804,0.31501381950719015,0.5062030154679503
test_seen,screen,30,0.651248348566393,0.7527470679332813,0.03843395663279804
test_seen,side,71,0.5331846710137078,0.6701927760117491,0.14167617006935698
test_seen,stern,50,0.4423482659459114,0.5778440472483635,0.3143735152482986
test_seen,tail,84,0.2538799662364736,0.3585563794310604,0.3186165327538869
test_seen,torso,298,0.4534404988111748,0.5753140790263369,0.1480428532606628
test_seen,upper arm,105,0.30558721684806406,0.42299708114670853,0.19156871644150839
test_seen,wheel,107,0.2024392708417933,0.29887821417406335,0.5057562361166716
test_seen,window,36,0.48807295432521236,0.6125701599650912,0.08583107620425931
test_seen,wing,50,0.3087178263068199,0.45135744273662565,0.2586776806414127
test_unseen,back,21,0.2913386516627811,0.39233059400603887,0.14208954461805873
test_unseen,beak,62,0.039290446097091314,0.061924654449666695,0.1270407145662654
test_unseen,door,24,0.050512167935570056,0.08639113209210335,0.11233335155217596
test_unseen,ear,100,0.22288709364132953,0.3183405975834466,0.22014678539708255
test_unseen,eye,148,0.08601385848344982,0.136049838384261,0.03727392080818881
test_unseen,foot,33,0.04672133205740739,0.08273452486504206,0.45976397112915013
test_unseen,front,29,0.2821102040851938,0.3740526593193926,0.13967975184064485
test_unseen,handlebar,1,0.1357758641242981,0.2390891909599304,0.361623615026474
test_unseen,head,178,0.35368207871150015,0.4821399702177791,0.1912977453007289
test_unseen,headlight,39,0.022156827581616544,0.03659468227758621,0.06706114457203792
test_unseen,horn,4,0.11462219757959244,0.1860229447484016,0.3244410492479801
test_unseen,leg,122,0.19295106003954088,0.28548294427942056,0.2523934306141722
test_unseen,license plate,3,0.0,0.0,0.0
test_unseen,mirror,31,0.007896282980518955,0.01399168324085974,0.06308720092619619
test_unseen,muzzle,100,0.3286177657684311,0.44996218972839414,0.15272338024456983
test_unseen,neck,83,0.2313109015883227,0.3329102713895221,0.1031385961953685
test_unseen,nose,69,0.14972894484906094,0.20168386901850285,0.03060603063499582
test_unseen,paw,52,0.22008773405104873,0.32107639656617093,0.40115558767977816
test_unseen,roof,14,0.052214997288371805,0.09049368104232207,0.08688381948741151
test_unseen,side,42,0.2855055474099658,0.41138657377589316,0.14965819719197623
test_unseen,tail,95,0.16929329116093486,0.24461250624766476,0.35812312481238656
test_unseen,torso,181,0.49489749761720225,0.6268086918212926,0.1410648253288387
test_unseen,wheel,78,0.372983611929111,0.49959019566766727,0.17839051088174943
test_unseen,window,43,0.2632978892516951,0.3669044158399798,0.12669161946491098
test_unseen,wing,34,0.22676491681212446,0.3247087371864301,0.36105096315526786
